training_size,cost,gamma,param_type,trial_id,seeds,total,correct,accuracy,misclassification
1347,100.0,0.008,minimum_error,C029,8465,1347,1238,0.9190794357832219,0.08092056421677807
1347,100.0,0.008,minimum_error,C030,1757,1347,1211,0.8990348923533779,0.10096510764662214
1347,100.0,0.008,minimum_error,C031,6903,1347,1213,0.9005196733481812,0.09948032665181883
1347,100.0,0.008,minimum_error,C032,8451,1347,1213,0.9005196733481812,0.09948032665181883
1347,100.0,0.008,minimum_error,C033,7339,1347,1237,0.9183370452858204,0.08166295471417961
1347,100.0,0.008,minimum_error,C034,1000,1347,1207,0.8960653303637713,0.10393466963622866
1347,100.0,0.008,minimum_error,C035,709,1347,1231,0.9138827023014106,0.08611729769858945
1347,100.0,0.008,minimum_error,C036,9006,1347,1231,0.9138827023014106,0.08611729769858945
1347,100.0,0.008,minimum_error,C037,4092,1347,1218,0.9042316258351893,0.09576837416481065
1347,100.0,0.008,minimum_error,C038,6959,1347,1232,0.9146250927988122,0.08537490720118779
1347,100.0,0.008,minimum_error,C039,4578,1347,1220,0.9057164068299925,0.09428359317000745
1347,100.0,0.008,minimum_error,C040,2314,1347,1232,0.9146250927988122,0.08537490720118779
1347,100.0,0.008,minimum_error,C041,9511,1347,1221,0.9064587973273942,0.0935412026726058
1347,100.0,0.008,minimum_error,C042,4055,1347,1220,0.9057164068299925,0.09428359317000745
1347,100.0,0.008,minimum_error,C043,6142,1347,1222,0.9072011878247959,0.09279881217520414
1347,100.0,0.008,minimum_error,C044,4377,1347,1231,0.9138827023014106,0.08611729769858945
1347,100.0,0.008,minimum_error,C045,9607,1347,1224,0.9086859688195991,0.09131403118040093
1347,100.0,0.008,minimum_error,C046,2094,1347,1215,0.9020044543429844,0.09799554565701563
1347,100.0,0.008,minimum_error,C047,6405,1347,1224,0.9086859688195991,0.09131403118040093
1347,100.0,0.008,minimum_error,C048,2556,1347,1208,0.896807720861173,0.103192279138827
1347,100.0,0.008,minimum_error,C049,949,1347,1208,0.896807720861173,0.103192279138827
1347,100.0,0.008,minimum_error,C050,829,1347,1209,0.8975501113585747,0.10244988864142535
1347,100.0,0.008,minimum_error,C051,5310,1347,1222,0.9072011878247959,0.09279881217520414
1347,100.0,0.008,minimum_error,C052,7587,1347,1205,0.894580549368968,0.10541945063103197
1347,100.0,0.008,minimum_error,C053,5186,1347,1222,0.9072011878247959,0.09279881217520414
1347,100.0,0.008,minimum_error,C054,4611,1347,1222,0.9072011878247959,0.09279881217520414
1347,100.0,0.008,minimum_error,C055,8947,1347,1226,0.9101707498144024,0.08982925018559762
1347,100.0,0.008,minimum_error,C056,2460,1347,1230,0.9131403118040089,0.0868596881959911
1347,100.0,0.008,minimum_error,C057,3124,1347,1232,0.9146250927988122,0.08537490720118779
1347,100.0,0.008,minimum_error,C058,8623,1347,1225,0.9094283593170007,0.09057164068299928
1347,100.0,0.008,minimum_error,C059,4122,1347,1229,0.9123979213066072,0.08760207869339276
1347,100.0,0.008,minimum_error,C060,3003,1347,1212,0.8997772828507795,0.10022271714922049
1347,100.0,0.008,minimum_error,C061,1440,1347,1215,0.9020044543429844,0.09799554565701563
1347,100.0,0.008,minimum_error,C062,8158,1347,1211,0.8990348923533779,0.10096510764662214
1347,100.0,0.008,minimum_error,C063,6776,1347,1211,0.8990348923533779,0.10096510764662214
1347,100.0,0.008,minimum_error,C064,4198,1347,1230,0.9131403118040089,0.0868596881959911
1347,100.0,0.008,minimum_error,C065,1929,1347,1221,0.9064587973273942,0.0935412026726058
1347,100.0,0.008,minimum_error,C066,8224,1347,1214,0.9012620638455828,0.09873793615441717
1347,100.0,0.008,minimum_error,C067,8704,1347,1227,0.910913140311804,0.08908685968819596
1347,100.0,0.008,minimum_error,C068,7924,1347,1228,0.9116555308092057,0.0883444691907943
1347,100.0,0.008,minimum_error,C069,8990,1347,1213,0.9005196733481812,0.09948032665181883
1347,100.0,0.008,minimum_error,C070,3842,1347,1208,0.896807720861173,0.103192279138827
1347,100.0,0.008,minimum_error,C071,8998,1347,1211,0.8990348923533779,0.10096510764662214
1347,100.0,0.008,minimum_error,C072,5482,1347,1207,0.8960653303637713,0.10393466963622866
1347,100.0,0.008,minimum_error,C073,3531,1347,1223,0.9079435783221975,0.09205642167780248
1347,100.0,0.008,minimum_error,C074,2836,1347,1219,0.9049740163325909,0.09502598366740911
1347,100.0,0.008,minimum_error,C075,9340,1347,1210,0.8982925018559762,0.1017074981440238
1347,100.0,0.008,minimum_error,C076,2604,1347,1200,0.89086859688196,0.10913140311804004
1347,100.0,0.008,minimum_error,C077,6773,1347,1228,0.9116555308092057,0.0883444691907943
1347,100.0,0.008,minimum_error,C078,3972,1347,1230,0.9131403118040089,0.0868596881959911
1347,100.0,0.008,minimum_error,C079,4508,1347,1222,0.9072011878247959,0.09279881217520414
1347,100.0,0.008,minimum_error,C080,4110,1347,1222,0.9072011878247959,0.09279881217520414
1347,100.0,0.008,minimum_error,C081,8181,1347,1228,0.9116555308092057,0.0883444691907943
1347,100.0,0.008,minimum_error,C082,6410,1347,1218,0.9042316258351893,0.09576837416481065
1347,100.0,0.008,minimum_error,C083,8425,1347,1236,0.9175946547884187,0.08240534521158127
1347,100.0,0.008,minimum_error,C084,7697,1347,1219,0.9049740163325909,0.09502598366740911
1347,100.0,0.008,minimum_error,C085,529,1347,1230,0.9131403118040089,0.0868596881959911
1347,100.0,0.008,minimum_error,C086,3919,1347,1229,0.9123979213066072,0.08760207869339276
1347,100.0,0.008,minimum_error,C087,1158,1347,1208,0.896807720861173,0.103192279138827
1347,100.0,0.008,minimum_error,C088,4420,1347,1232,0.9146250927988122,0.08537490720118779
1347,100.0,0.008,minimum_error,C089,1251,1347,1214,0.9012620638455828,0.09873793615441717
1347,100.0,0.008,minimum_error,C090,8753,1347,1241,0.9213066072754269,0.0786933927245731
1347,100.0,0.008,minimum_error,C091,9649,1347,1223,0.9079435783221975,0.09205642167780248
1347,100.0,0.008,minimum_error,C092,3386,1347,1210,0.8982925018559762,0.1017074981440238
1347,100.0,0.008,minimum_error,C093,9548,1347,1221,0.9064587973273942,0.0935412026726058
1347,100.0,0.008,minimum_error,C094,2907,1347,1222,0.9072011878247959,0.09279881217520414
1347,100.0,0.008,minimum_error,C095,5990,1347,1208,0.896807720861173,0.103192279138827
1347,100.0,0.008,minimum_error,C096,6854,1347,1230,0.9131403118040089,0.0868596881959911
1347,100.0,0.008,minimum_error,C097,7415,1347,1235,0.9168522642910171,0.08314773570898293
1347,100.0,0.008,minimum_error,C098,4850,1347,1228,0.9116555308092057,0.0883444691907943
1347,100.0,0.008,minimum_error,C099,4304,1347,1215,0.9020044543429844,0.09799554565701563
1347,100.0,0.008,minimum_error,C100,417,1347,1218,0.9042316258351893,0.09576837416481065
108,100.0,0.01,se1_error,D001,8670,2586,2210,0.8546017014694509,0.14539829853054909
108,100.0,0.01,se1_error,D002,6544,2586,2150,0.831399845320959,0.168600154679041
108,100.0,0.01,se1_error,D003,5766,2586,2209,0.854215003866976,0.14578499613302398
108,100.0,0.01,se1_error,D004,7746,2586,2147,0.8302397525135344,0.16976024748646557
108,100.0,0.01,se1_error,D005,6713,2586,2166,0.8375870069605569,0.16241299303944312
108,100.0,0.01,se1_error,D006,6153,2586,2210,0.8546017014694509,0.14539829853054909
108,100.0,0.01,se1_error,D007,1338,2586,2122,0.8205723124516628,0.17942768754833716
108,100.0,0.01,se1_error,D008,7907,2586,2153,0.8325599381283836,0.16744006187161642
108,100.0,0.01,se1_error,D009,19,2586,2138,0.8267594740912606,0.1732405259087394
108,100.0,0.01,se1_error,D010,4864,2586,2206,0.8530549110595514,0.14694508894044855
108,100.0,0.01,se1_error,D011,2350,2586,2185,0.8449342614075793,0.15506573859242068
108,100.0,0.01,se1_error,D012,1090,2586,2092,0.8089713843774169,0.1910286156225831
108,100.0,0.01,se1_error,D013,9086,2586,2067,0.7993039443155452,0.2006960556844548
108,100.0,0.01,se1_error,D014,8324,2586,2163,0.8364269141531323,0.1635730858468677
