training_size,model_type,seeds,df,trial_id,lambda_type,lambda,total,correct,accuracy,misclassification
1347,ridge,9707,53,F029,lambda_1se,0.1578388007813352,2695,2373,0.8805194805194805,0.11948051948051952
1347,ridge,5055,53,F030,lambda_1se,0.1578388007813352,2695,2368,0.8786641929499073,0.12133580705009273
1347,ridge,5974,53,F031,lambda_1se,0.1578388007813352,2695,2377,0.8820037105751392,0.11799628942486085
1347,ridge,1816,53,F032,lambda_1se,0.1578388007813352,2695,2386,0.885343228200371,0.11465677179962896
1347,ridge,7122,53,F033,lambda_1se,0.1578388007813352,2695,2368,0.8786641929499073,0.12133580705009273
1347,ridge,3079,53,F034,lambda_1se,0.1578388007813352,2695,2389,0.8864564007421151,0.11354359925788493
1347,ridge,7774,53,F035,lambda_1se,0.1578388007813352,2695,2356,0.8742115027829314,0.12578849721706864
1347,ridge,1418,53,F036,lambda_1se,0.1578388007813352,2695,2376,0.8816326530612245,0.11836734693877549
1347,ridge,7534,53,F037,lambda_1se,0.1578388007813352,2695,2395,0.8886827458256029,0.11131725417439708
1347,ridge,3464,53,F038,lambda_1se,0.1578388007813352,2695,2393,0.8879406307977736,0.11205936920222637
1347,ridge,1753,53,F039,lambda_1se,0.1578388007813352,2695,2377,0.8820037105751392,0.11799628942486085
1347,ridge,8728,53,F040,lambda_1se,0.1578388007813352,2695,2379,0.8827458256029684,0.11725417439703156
1347,ridge,316,53,F041,lambda_1se,0.1578388007813352,2695,2366,0.8779220779220779,0.12207792207792212
1347,ridge,3051,53,F042,lambda_1se,0.1578388007813352,2695,2390,0.8868274582560297,0.11317254174397029
1347,ridge,2758,53,F043,lambda_1se,0.1578388007813352,2695,2379,0.8827458256029684,0.11725417439703156
1347,ridge,9268,53,F044,lambda_1se,0.1578388007813352,2695,2393,0.8879406307977736,0.11205936920222637
1347,ridge,1877,53,F045,lambda_1se,0.1578388007813352,2695,2391,0.8871985157699444,0.11280148423005565
1347,ridge,3195,53,F046,lambda_1se,0.1578388007813352,2695,2370,0.8794063079777366,0.12059369202226344
1347,ridge,7821,53,F047,lambda_1se,0.1578388007813352,2695,2377,0.8820037105751392,0.11799628942486085
1347,ridge,5362,53,F048,lambda_1se,0.1578388007813352,2695,2351,0.872356215213358,0.12764378478664196
1347,ridge,8081,53,F049,lambda_1se,0.1578388007813352,2695,2364,0.8771799628942486,0.1228200371057514
