training_size,trial_i,rf_mtry,rf_ntree,rf_replace,trial_seed,total,correct,accuracy,misclassification,trial_run,seed
1347.0,54,1,10.0,TRUE,59395,1348,1160,0.8605341246290801,0.13946587537091992,54,59395
108.0,55,1,10.0,TRUE,85018,2587,2088,0.8071124855044453,0.19288751449555475,55,85018
540.0,55,1,10.0,TRUE,81258,2155,1742,0.8083526682134571,0.19164733178654292,55,81258
1347.0,55,1,10.0,TRUE,37980,1348,1187,0.8805637982195845,0.11943620178041547,55,37980
108.0,56,1,10.0,TRUE,49150,2587,2036,0.7870119829918825,0.21298801700811754,56,49150
540.0,56,1,10.0,TRUE,99173,2155,1773,0.822737819025522,0.177262180974478,56,99173
1347.0,56,1,10.0,TRUE,17380,1348,1140,0.8456973293768546,0.1543026706231454,56,17380
108.0,57,1,10.0,TRUE,83288,2587,2094,0.8094317742558949,0.19056822574410515,57,83288
540.0,57,1,10.0,TRUE,39515,2155,1699,0.7883990719257541,0.2116009280742459,57,39515
1347.0,57,1,10.0,TRUE,96741,1348,1128,0.8367952522255193,0.16320474777448069,57,96741
108.0,58,1,10.0,TRUE,18789,2587,2213,0.8554310011596443,0.14456899884035568,58,18789
540.0,58,1,10.0,TRUE,74794,2155,1812,0.8408352668213457,0.15916473317865432,58,74794
1347.0,58,1,10.0,TRUE,30794,1348,1153,0.8553412462908012,0.14465875370919878,58,30794
108.0,59,1,10.0,TRUE,37840,2587,2096,0.810204870506378,0.18979512949362198,59,37840
540.0,59,1,10.0,TRUE,74946,2155,1772,0.8222737819025522,0.17772621809744782,59,74946
1347.0,59,1,10.0,TRUE,70297,1348,1146,0.8501483679525222,0.14985163204747776,59,70297
108.0,60,1,10.0,TRUE,91897,2587,2004,0.7746424429841515,0.22535755701584848,60,91897
540.0,60,1,10.0,TRUE,79387,2155,1850,0.8584686774941995,0.14153132250580047,60,79387
1347.0,60,1,10.0,TRUE,82760,1348,1192,0.884272997032641,0.11572700296735905,60,82760
108.0,61,1,10.0,TRUE,16725,2587,1396,0.5396211828372632,0.46037881716273676,61,16725
540.0,61,1,10.0,TRUE,40922,2155,1836,0.8519721577726218,0.1480278422273782,61,40922
1347.0,61,1,10.0,TRUE,19590,1348,1170,0.8679525222551929,0.13204747774480707,61,19590
108.0,62,1,10.0,TRUE,25893,2587,2068,0.7993815229996134,0.2006184770003866,62,25893
540.0,62,1,10.0,TRUE,96864,2155,1857,0.8617169373549884,0.13828306264501156,62,96864
1347.0,62,1,10.0,TRUE,81015,1348,1169,0.8672106824925816,0.1327893175074184,62,81015
108.0,63,1,10.0,TRUE,34695,2587,2043,0.7897178198685736,0.2102821801314264,63,34695
540.0,63,1,10.0,TRUE,93660,2155,1714,0.7953596287703016,0.20464037122969836,63,93660
1347.0,63,1,10.0,TRUE,16308,1348,1117,0.8286350148367952,0.17136498516320475,63,16308
108.0,64,1,10.0,TRUE,15652,2587,2082,0.8047931967529958,0.19520680324700423,64,15652
540.0,64,1,10.0,TRUE,75264,2155,1817,0.8431554524361949,0.15684454756380506,64,75264
1347.0,64,1,10.0,TRUE,88436,1348,1143,0.8479228486646885,0.15207715133531152,64,88436
108.0,65,1,10.0,TRUE,30618,2587,2194,0.8480865867800541,0.1519134132199459,65,30618
540.0,65,1,10.0,TRUE,31049,2155,1759,0.8162412993039443,0.1837587006960557,65,31049
1347.0,65,1,10.0,TRUE,98262,1348,1124,0.8338278931750742,0.16617210682492578,65,98262
108.0,66,1,10.0,TRUE,692,2587,2121,0.8198685736374178,0.18013142636258217,66,692
540.0,66,1,10.0,TRUE,27379,2155,1770,0.8213457076566125,0.17865429234338748,66,27379
1347.0,66,1,10.0,TRUE,79648,1348,1128,0.8367952522255193,0.16320474777448069,66,79648
108.0,67,1,10.0,TRUE,24319,2587,2145,0.8291457286432161,0.17085427135678388,67,24319
540.0,67,1,10.0,TRUE,45737,2155,1812,0.8408352668213457,0.15916473317865432,67,45737
1347.0,67,1,10.0,TRUE,58742,1348,1166,0.8649851632047477,0.13501483679525228,67,58742
108.0,68,1,10.0,TRUE,89080,2587,2039,0.7881716273676073,0.21182837263239274,68,89080
540.0,68,1,10.0,TRUE,12355,2155,1718,0.797215777262181,0.20278422273781904,68,12355
1347.0,68,1,10.0,TRUE,51227,1348,1031,0.7648367952522255,0.23516320474777452,68,51227
108.0,69,1,10.0,TRUE,66229,2587,1936,0.7483571704677232,0.2516428295322768,69,66229
540.0,69,1,10.0,TRUE,76398,2155,1783,0.8273781902552204,0.1726218097447796,69,76398
1347.0,69,1,10.0,TRUE,9244,1348,1124,0.8338278931750742,0.16617210682492578,69,9244
