training_size,cost,gamma,seeds,total,correct,testfold_name,accuracy,misclassification
108.0,10.0,0.0,32669,12,7,Fold05,0.5833333333333334,0.41666666666666663
108.0,10.0,0.0,32669,11,7,Fold06,0.6363636363636364,0.36363636363636365
108.0,10.0,0.0,32669,10,6,Fold07,0.6,0.4
108.0,10.0,0.0,32669,10,6,Fold08,0.6,0.4
108.0,10.0,0.0,32669,12,7,Fold09,0.5833333333333334,0.41666666666666663
108.0,10.0,0.0,32669,10,6,Fold10,0.6,0.4
540.0,10.0,0.0,96521,54,32,Fold01,0.5925925925925926,0.40740740740740744
540.0,10.0,0.0,96521,53,32,Fold02,0.6037735849056604,0.39622641509433965
540.0,10.0,0.0,96521,55,33,Fold03,0.6,0.4
540.0,10.0,0.0,96521,55,33,Fold04,0.6,0.4
540.0,10.0,0.0,96521,55,33,Fold05,0.6,0.4
540.0,10.0,0.0,96521,53,32,Fold06,0.6037735849056604,0.39622641509433965
540.0,10.0,0.0,96521,54,32,Fold07,0.5925925925925926,0.40740740740740744
540.0,10.0,0.0,96521,54,32,Fold08,0.5925925925925926,0.40740740740740744
540.0,10.0,0.0,96521,54,32,Fold09,0.5925925925925926,0.40740740740740744
540.0,10.0,0.0,96521,53,32,Fold10,0.6037735849056604,0.39622641509433965
1347.0,10.0,0.0,70732,135,75,Fold01,0.5555555555555556,0.4444444444444444
1347.0,10.0,0.0,70732,135,75,Fold02,0.5555555555555556,0.4444444444444444
1347.0,10.0,0.0,70732,134,75,Fold03,0.5597014925373134,0.4402985074626866
1347.0,10.0,0.0,70732,135,75,Fold04,0.5555555555555556,0.4444444444444444
1347.0,10.0,0.0,70732,134,75,Fold05,0.5597014925373134,0.4402985074626866
1347.0,10.0,0.0,70732,135,75,Fold06,0.5555555555555556,0.4444444444444444
1347.0,10.0,0.0,70732,135,75,Fold07,0.5555555555555556,0.4444444444444444
1347.0,10.0,0.0,70732,135,75,Fold08,0.5555555555555556,0.4444444444444444
1347.0,10.0,0.0,70732,135,75,Fold09,0.5555555555555556,0.4444444444444444
1347.0,10.0,0.0,70732,134,74,Fold10,0.5522388059701493,0.4477611940298507
108.0,50.0,0.0,64439,10,6,Fold01,0.6,0.4
108.0,50.0,0.0,64439,11,6,Fold02,0.5454545454545454,0.4545454545454546
108.0,50.0,0.0,64439,11,6,Fold03,0.5454545454545454,0.4545454545454546
108.0,50.0,0.0,64439,10,6,Fold04,0.6,0.4
108.0,50.0,0.0,64439,11,7,Fold05,0.6363636363636364,0.36363636363636365
108.0,50.0,0.0,64439,12,7,Fold06,0.5833333333333334,0.41666666666666663
108.0,50.0,0.0,64439,11,6,Fold07,0.5454545454545454,0.4545454545454546
